,Country,Economy
118,Ethiopia,0.3392
119,Sri Lanka,1.0099
120,Armenia,0.9006
121,India,0.7922
122,Mauritania,0.6485
123,Congo (Brazzaville),0.809
124,Georgia,0.9506
125,Congo (Kinshasa),0.0921
126,Mali,0.4762
127,Ivory Coast,0.603
128,Cambodia,0.6018
129,Sudan,0.6595
130,Ghana,0.6672
131,Ukraine,0.8947
132,Uganda,0.3814
133,Burkina Faso,0.3502
134,Niger,0.1619
135,Malawi,0.2334
136,Chad,0.438
137,Zimbabwe,0.3758
138,Lesotho,0.521
139,Angola,0.8584
140,Afghanistan,0.4015
141,Botswana,1.1221
142,Benin,0.4311
143,Madagascar,0.3058
144,Haiti,0.3686
145,Yemen,0.5917
146,South Sudan,0.3972
147,Liberia,0.119
148,Guinea,0.2445
149,Togo,0.3054
150,Rwanda,0.3687
151,Syria,0.7772
152,Tanzania,0.5111
153,Burundi,0.0916
154,Central African Republic,0.0
0,Finland,1.305
1,Norway,1.456
2,Denmark,1.351
3,Iceland,1.343
4,Switzerland,1.42
5,Netherlands,1.361
6,Canada,1.33
7,New Zealand,1.268
8,Sweden,1.355
9,Australia,1.34
10,United Kingdom,1.244
11,Austria,1.341
12,Costa Rica,1.01
13,Ireland,1.448
14,Germany,1.34
15,Belgium,1.324
16,Luxembourg,1.576
17,United States,1.398
18,Israel,1.301
19,United Arab Emirates,2.096
20,Czech Republic,1.233
21,Malta,1.27
22,France,1.293
23,Mexico,1.038
24,Chile,1.131
25,Taiwan,1.365
26,Panama,1.112
27,Brazil,0.986
28,Argentina,1.073
29,Guatemala,0.781
30,Uruguay,1.093
31,Qatar,1.649
32,Saudi Arabia,1.379
33,Singapore,1.529
34,Malaysia,1.161
35,Spain,1.251
36,Colombia,0.96
37,Trinidad and Tobago,1.223
38,Slovakia,1.21
39,El Salvador,0.806
40,Nicaragua,0.668
41,Poland,1.176
42,Bahrain,1.338
43,Uzbekistan,0.719
44,Kuwait,1.474
45,Thailand,1.016
46,Italy,1.264
47,Ecuador,0.889
48,Belize,0.807
49,Lithuania,1.197
50,Slovenia,1.219
51,Romania,1.116
52,Latvia,1.148
53,Japan,1.294
54,Mauritius,1.09
55,Jamaica,0.819
56,South Korea,1.266
57,North Cyprus,1.229
58,Russia,1.151
59,Kazakhstan,1.143
60,Cyprus,1.229
61,Bolivia,0.751
62,Estonia,1.2
63,Paraguay,0.835
64,Peru,0.934
65,Kosovo,0.855
66,Moldova,0.657
67,Turkmenistan,1.016
68,Hungary,1.171
69,Libya,0.985
70,Philippines,0.775
71,Honduras,0.62
72,Belarus,1.039
73,Turkey,1.148
74,Pakistan,0.652
75,Hong Kong,1.405
76,Portugal,1.188
77,Serbia,0.975
78,Greece,1.154
79,Lebanon,0.965
80,Montenegro,1.017
81,Croatia,1.115
82,Dominican Republic,0.982
83,Algeria,0.979
84,Morocco,0.779
85,China,0.989
86,Azerbaijan,1.024
87,Tajikistan,0.474
88,Macedonia,0.959
89,Jordan,0.822
90,Nigeria,0.689
91,Kyrgyzstan,0.53
92,Bosnia and Herzegovina,0.915
93,Mongolia,0.914
94,Vietnam,0.715
95,Indonesia,0.899
96,Bhutan,0.796
97,Somalia,0.0
98,Cameroon,0.535
99,Bulgaria,1.054
100,Nepal,0.425
101,Venezuela,0.996
102,Gabon,1.036
103,Palestinian Territories,0.642
104,South Africa,0.94
105,Iran,1.059
106,Ivory Coast,0.541
107,Ghana,0.592
108,Senegal,0.429
109,Laos,0.72
110,Tunisia,0.9
111,Albania,0.916
112,Sierra Leone,0.256
113,Congo (Brazzaville),0.682
114,Bangladesh,0.532
115,Sri Lanka,0.918
116,Iraq,1.01
117,Mali,0.37
118,Namibia,0.874
119,Cambodia,0.549
120,Burkina Faso,0.314
121,Egypt,0.885
122,Mozambique,0.198
123,Kenya,0.493
124,Zambia,0.562
125,Mauritania,0.557
126,Ethiopia,0.308
127,Georgia,0.853
128,Armenia,0.816
129,Myanmar,0.682
130,Chad,0.358
131,Congo (Kinshasa),0.069
132,India,0.721
133,Niger,0.131
134,Uganda,0.322
135,Benin,0.378
136,Sudan,0.605
137,Ukraine,0.793
138,Togo,0.259
139,Guinea,0.344
140,Lesotho,0.472
141,Angola,0.73
142,Madagascar,0.262
143,Zimbabwe,0.357
144,Afghanistan,0.332
145,Botswana,1.017
146,Malawi,0.186
147,Haiti,0.315
148,Liberia,0.076
149,Syria,0.689
150,Rwanda,0.332
151,Yemen,0.442
152,Tanzania,0.455
153,South Sudan,0.337
154,Central African Republic,0.024
155,Burundi,0.091
0,Finland,1.34
1,Denmark,1.383
2,Norway,1.488
3,Iceland,1.38
4,Netherlands,1.396
5,Switzerland,1.452
6,Sweden,1.387
7,New Zealand,1.303
8,Canada,1.365
9,Austria,1.376
10,Australia,1.372
11,Costa Rica,1.034
12,Israel,1.276
13,Luxembourg,1.609
14,United Kingdom,1.333
15,Ireland,1.499
16,Germany,1.373
17,Belgium,1.356
18,United States,1.433
19,Czech Republic,1.269
20,United Arab Emirates,1.503
21,Malta,1.3
22,Mexico,1.07
23,France,1.324
24,Taiwan,1.368
25,Chile,1.159
26,Guatemala,0.8
27,Saudi Arabia,1.403
28,Qatar,1.684
29,Spain,1.286
30,Panama,1.149
31,Brazil,1.004
32,Uruguay,1.124
33,Singapore,1.572
34,El Salvador,0.794
35,Italy,1.294
36,Bahrain,1.362
37,Slovakia,1.246
38,Trinidad and Tobago,1.231
39,Poland,1.206
40,Uzbekistan,0.745
41,Lithuania,1.238
42,Colombia,0.985
43,Slovenia,1.258
44,Nicaragua,0.694
45,Kosovo,0.882
46,Argentina,1.092
47,Romania,1.162
48,Cyprus,1.263
49,Ecuador,0.912
50,Kuwait,1.5
51,Thailand,1.05
52,Latvia,1.187
53,South Korea,1.301
54,Estonia,1.237
55,Jamaica,0.831
56,Mauritius,1.12
57,Japan,1.327
58,Honduras,0.642
59,Kazakhstan,1.173
60,Bolivia,0.776
61,Hungary,1.201
62,Paraguay,0.855
63,North Cyprus,1.263
64,Peru,0.96
65,Portugal,1.221
66,Pakistan,0.677
67,Russia,1.183
68,Philippines,0.807
69,Serbia,1.004
70,Moldova,0.685
71,Libya,1.044
72,Montenegro,1.051
73,Tajikistan,0.493
74,Croatia,1.155
75,Hong Kong,1.438
76,Dominican Republic,1.015
77,Bosnia and Herzegovina,0.945
78,Turkey,1.183
79,Malaysia,1.221
80,Belarus,1.067
81,Greece,1.181
82,Mongolia,0.948
84,Nigeria,0.696
85,Kyrgyzstan,0.551
86,Turkmenistan,1.052
87,Algeria,1.002
88,Morocco,0.801
89,Azerbaijan,1.043
90,Lebanon,0.987
91,Indonesia,0.931
92,China,1.029
93,Vietnam,0.741
94,Bhutan,0.813
95,Cameroon,0.549
96,Bulgaria,1.092
97,Ghana,0.611
98,Ivory Coast,0.569
99,Nepal,0.446
100,Jordan,0.837
101,Benin,0.393
102,Congo (Brazzaville),0.673
103,Gabon,1.057
104,Laos,0.764
105,South Africa,0.96
106,Albania,0.947
107,Venezuela,0.96
108,Cambodia,0.574
109,Palestinian Territories,0.657
110,Senegal,0.45
111,Somalia,0.0
112,Namibia,0.879
113,Niger,0.138
114,Burkina Faso,0.331
115,Armenia,0.85
116,Iran,1.1
117,Guinea,0.38
118,Georgia,0.886
120,Kenya,0.512
121,Mauritania,0.57
122,Mozambique,0.204
123,Tunisia,0.921
124,Bangladesh,0.562
125,Iraq,1.043
126,Congo (Kinshasa),0.094
127,Mali,0.385
128,Sierra Leone,0.268
129,Sri Lanka,0.949
130,Myanmar,0.71
131,Chad,0.35
132,Ukraine,0.82
133,Ethiopia,0.336
134,Swaziland,0.811
135,Uganda,0.332
136,Egypt,0.913
137,Zambia,0.578
138,Togo,0.275
139,India,0.755
140,Liberia,0.073
141,Comoros,0.274
142,Madagascar,0.274
143,Lesotho,0.489
144,Burundi,0.046
145,Zimbabwe,0.366
146,Haiti,0.323
147,Botswana,1.041
148,Syria,0.619
149,Malawi,0.191
150,Yemen,0.287
151,Rwanda,0.359
152,Tanzania,0.476
153,Afghanistan,0.35
154,Central African Republic,0.026
155,South Sudan,0.306
