,Country,Happiness Score
105,Iran,4.707
106,Ivory Coast,4.671
107,Ghana,4.657
108,Senegal,4.631
109,Laos,4.623
110,Tunisia,4.592
111,Albania,4.586
112,Sierra Leone,4.571
113,Congo (Brazzaville),4.559
114,Bangladesh,4.5
115,Sri Lanka,4.471
116,Iraq,4.456
117,Mali,4.447
118,Namibia,4.441
119,Cambodia,4.433
120,Burkina Faso,4.424
121,Egypt,4.419
122,Mozambique,4.417
123,Kenya,4.41
124,Zambia,4.377
125,Mauritania,4.356
126,Ethiopia,4.35
127,Georgia,4.34
128,Armenia,4.321
129,Myanmar,4.308
130,Chad,4.301
131,Congo (Kinshasa),4.245
132,India,4.19
133,Niger,4.166
134,Uganda,4.161
135,Benin,4.141
136,Sudan,4.139
137,Ukraine,4.103
138,Togo,3.999
139,Guinea,3.964
140,Lesotho,3.808
141,Angola,3.795
142,Madagascar,3.774
143,Zimbabwe,3.692
144,Afghanistan,3.632
145,Botswana,3.59
146,Malawi,3.587
147,Haiti,3.582
148,Liberia,3.495
149,Syria,3.462
150,Rwanda,3.408
151,Yemen,3.355
152,Tanzania,3.303
153,South Sudan,3.254
154,Central African Republic,3.083
155,Burundi,2.905
0,Finland,7.769
1,Denmark,7.6
2,Norway,7.554
3,Iceland,7.494
4,Netherlands,7.488
5,Switzerland,7.48
6,Sweden,7.343
7,New Zealand,7.307
8,Canada,7.278
9,Austria,7.246
10,Australia,7.228
11,Costa Rica,7.167
12,Israel,7.139
13,Luxembourg,7.09
14,United Kingdom,7.054
15,Ireland,7.021
16,Germany,6.985
17,Belgium,6.923
18,United States,6.892
19,Czech Republic,6.852
20,United Arab Emirates,6.825
21,Malta,6.726
22,Mexico,6.595
23,France,6.592
24,Taiwan,6.446
25,Chile,6.444
26,Guatemala,6.436
27,Saudi Arabia,6.375
28,Qatar,6.374
29,Spain,6.354
30,Panama,6.321
31,Brazil,6.3
32,Uruguay,6.293
33,Singapore,6.262
34,El Salvador,6.253
35,Italy,6.223
36,Bahrain,6.199
37,Slovakia,6.198
38,Trinidad and Tobago,6.192
39,Poland,6.182
40,Uzbekistan,6.174
41,Lithuania,6.149
42,Colombia,6.125
43,Slovenia,6.118
44,Nicaragua,6.105
45,Kosovo,6.1
46,Argentina,6.086
47,Romania,6.07
48,Cyprus,6.046
49,Ecuador,6.028
50,Kuwait,6.021
51,Thailand,6.008
52,Latvia,5.94
53,South Korea,5.895
54,Estonia,5.893
55,Jamaica,5.89
56,Mauritius,5.888
57,Japan,5.886
58,Honduras,5.86
59,Kazakhstan,5.809
60,Bolivia,5.779
61,Hungary,5.758
62,Paraguay,5.743
63,North Cyprus,5.718
64,Peru,5.697
65,Portugal,5.693
66,Pakistan,5.653
67,Russia,5.648
68,Philippines,5.631
69,Serbia,5.603
70,Moldova,5.529
71,Libya,5.525
72,Montenegro,5.523
73,Tajikistan,5.467
74,Croatia,5.432
75,Hong Kong,5.43
76,Dominican Republic,5.425
77,Bosnia and Herzegovina,5.386
78,Turkey,5.373
79,Malaysia,5.339
80,Belarus,5.323
81,Greece,5.287
82,Mongolia,5.285
84,Nigeria,5.265
85,Kyrgyzstan,5.261
86,Turkmenistan,5.247
87,Algeria,5.211
88,Morocco,5.208
89,Azerbaijan,5.208
90,Lebanon,5.197
91,Indonesia,5.192
92,China,5.191
93,Vietnam,5.175
94,Bhutan,5.082
95,Cameroon,5.044
96,Bulgaria,5.011
97,Ghana,4.996
98,Ivory Coast,4.944
99,Nepal,4.913
100,Jordan,4.906
101,Benin,4.883
102,Congo (Brazzaville),4.812
103,Gabon,4.799
104,Laos,4.796
105,South Africa,4.722
106,Albania,4.719
107,Venezuela,4.707
108,Cambodia,4.7
109,Palestinian Territories,4.696
110,Senegal,4.681
111,Somalia,4.668
112,Namibia,4.639
113,Niger,4.628
114,Burkina Faso,4.587
115,Armenia,4.559
116,Iran,4.548
117,Guinea,4.534
118,Georgia,4.519
120,Kenya,4.509
121,Mauritania,4.49
122,Mozambique,4.466
123,Tunisia,4.461
124,Bangladesh,4.456
125,Iraq,4.437
126,Congo (Kinshasa),4.418
127,Mali,4.39
128,Sierra Leone,4.374
129,Sri Lanka,4.366
130,Myanmar,4.36
131,Chad,4.35
132,Ukraine,4.332
133,Ethiopia,4.286
134,Swaziland,4.212
135,Uganda,4.189
136,Egypt,4.166
137,Zambia,4.107
138,Togo,4.085
139,India,4.015
140,Liberia,3.975
141,Comoros,3.973
142,Madagascar,3.933
143,Lesotho,3.802
144,Burundi,3.775
145,Zimbabwe,3.663
146,Haiti,3.597
147,Botswana,3.488
148,Syria,3.462
149,Malawi,3.41
150,Yemen,3.38
151,Rwanda,3.334
152,Tanzania,3.231
153,Afghanistan,3.203
154,Central African Republic,3.083
155,South Sudan,2.853
